Rank, City, State, 2018 estimate, 2010 Census,Change[%], 2016 land area[sq mi], 2016 land area[km*km], 2016 population density[/sq mi], 2016 population density[km*km], location,
133, Shreveport, Louisiana, 188987, 199311, −5.18%, 107.1, 277.4, 1820, 700, 32°28′01″N 93°47′32″W, 
134, Frisco, Texas, 188170, 116989, +60.84%, 67.7, 175.3, 2417, 933, 33°09′19″N 96°49′21″W, 
135, Knoxville, Tennessee, 187500, 178874, +4.82%, 98.5, 255.1, 1891, 730, 35°58′15″N 83°56′57″W, 
136, Worcester, Massachusetts, 185877, 181045, +2.67%, 37.4, 96.9, 4933, 1905, 42°16′10″N 71°48′28″W, 
137, Brownsville, Texas, 183392, 175023, +4.78%, 132.5, 343.2, 1387, 536, 25°59′57″N 97°27′18″W, 
138, Vancouver, Washington, 183012, 161791, +13.12%, 46.9, 121.5, 3728, 1439, 45°38′06″N 122°35′45″W, 
139, Fort Lauderdale, Florida, 182595, 165521, +10.32%, 34.6, 89.6, 5166, 1995, 26°08′28″N 80°08′48″W, 
140, Sioux Falls, South Dakota, 181883, 153888, +18.19%, 75.4, 195.3, 2312, 893, 43°32′18″N 96°43′55″W, 
141, Ontario, California, 181107, 163924, +10.48%, 49.9, 129.2, 3471, 1340, 34°02′22″N 117°36′15″W, 
142, Chattanooga, Tennessee, 180557, 167674, +7.68%, 143.1, 370.6, 1241, 479, 35°03′58″N 85°14′54″W, 
143, Providence, Rhode Island, 179335, 178042, +0.73%, 18.4, 47.7, 9740, 3760, 41°49′23″N 71°25′08″W, 
144, Newport News, Virginia, 178626, 180719, −1.16%, 69.1, 179.0, 2631, 1016, 37°04′34″N 76°31′19″W, 
145, Rancho Cucamonga, California, 177751, 165269, +7.55%, 40.0, 103.6, 4413, 1704, 34°07′24″N 117°33′51″W, 
146, Santa Rosa, California, 177586, 167815, +5.82%, 41.3, 107.0, 4241, 1637, 38°26′48″N 122°42′22″W, 
147, Oceanside, California, 176080, 167086, +5.38%, 41.3, 107.0, 4249, 1641, 33°13′28″N 117°18′22″W, 
148, Salem, Oregon, 173442, 154637, +12.16%, 48.6, 125.9, 3445, 1330, 44°55′25″N 123°01′24″W, 
149, Elk Grove, California, 172886, 153015, +12.99%, 42.2, 109.3, 4022, 1553, 38°24′53″N 121°23′06″W, 
150, Garden Grove, California, 172646, 170883, +1.03%, 18.0, 46.6, 9714, 3751, 33°46′44″N 117°57′38″W, 
151, Pembroke Pines, Florida, 172374, 154019, +11.92%, 33.0, 85.5, 5109, 1973, 26°01′16″N 80°20′25″W, 
152, Peoria, Arizona, 172259, 154065, +11.81%, 175.7, 455.1, 934, 361, 33°47′10″N 112°18′29″W, 
153, Eugene, Oregon, 171245, 156185, +9.64%, 44.1, 114.2, 3777, 1458, 44°03′24″N 123°06′58″W, 
154, Corona, California, 168819, 152374, +10.79%, 39.5, 102.3, 4222, 1630, 33°51′43″N 117°33′56″W, 
155, Cary, North Carolina, 168160, 135234, +24.35%, 56.5, 146.3, 2873, 1109, 35°46′51″N 78°48′48″W, 
