Rank, City, State, 2018 estimate, 2010 Census,Change[%], 2016 land area[sq mi], 2016 land area[km*km], 2016 population density[/sq mi], 2016 population density[km*km], location,
299, Burbank, California, 103695, 103340, +0.34%, 17.4, 45.1, 6003, 2318, 34°11′24″N 118°19′35″W, 
300, Rialto, California, 103440, 99171, +4.30%, 22.3, 57.8, 4633, 1789, 34°06′42″N 117°23′18″W, 
301, Allen, Texas, 103383, 84246, +22.72%, 27.1, 70.2, 3715, 1434, 33°05′59″N 96°39′47″W, 
302, El Cajon, California, 103241, 99478, +3.78%, 14.5, 37.6, 7156, 2763, 32°48′06″N 116°57′37″W, 
303, Las Cruces, New Mexico, 102926, 97618, +5.44%, 76.9, 199.2, 1323, 511, 32°19′35″N 106°47′23″W, 
304, Renton, Washington, 102153, 90927, +12.35%, 23.4, 60.6, 4314, 1666, 47°28′34″N 122°11′31″W, 
305, Davenport, Iowa, 102085, 99685, +2.41%, 62.9, 162.9, 1631, 630, 41°33′15″N 90°36′14″W, 
306, South Bend, Indiana, 101860, 101168, +0.68%, 41.4, 107.2, 2457, 949, 41°40′37″N 86°16′08″W, 
307, Vista, California, 101224, 93834, +7.88%, 18.7, 48.4, 5436, 2099, 33°11′22″N 117°14′19″W, 
308, Tuscaloosa, Alabama, 101113, 90468, +11.77%, 71.7, 185.7, 1399, 540, 33°12′23″N 87°32′05″W, 
309, Clinton[ae], Michigan, 100800, 96796, +4.14%, 28.1, 72.8, 3573, 1380, 42°35′25″N 82°55′01″W, 
310, Edison[ad], New Jersey, 100693, 99967, +0.73%, 30.1, 78.0, 3389, 1309, 40°30′14″N 74°20′58″W, 
311, Woodbridge[ad], New Jersey, 100450, 99585, +0.87%, 23.3, 60.3, 4351, 1680, 40°33′39″N 74°17′34″W, 
312, San Angelo, Texas, 100215, 93200, +7.53%, 59.9, 155.1, 1681, 649, 31°26′28″N 100°27′02″W, 
313, Kenosha, Wisconsin, 100164, 99218, +0.95%, 28.0, 72.5, 3577, 1381, 42°34′56″N 87°50′44″W, 
314, Vacaville, California, 100154, 92428, +8.36%, 29.0, 75.1, 3449, 1332, 38°21′14″N 121°58′22″W, 
,, 
