elevation[meters], WeatherDataValidUntil, temperature[°F], temperatureTrend, windDirection, windSpeed, shortForecast
306.0192, 2019-05-26T18:00:00-04:00, 87, None, SW, 9 to 15 mph, Mostly Sunny then Slight Chance Showers And Thunderstorms
2.1336, 2019-05-26T18:00:00-07:00, 64, None, WSW, 10 to 18 mph, Showers And Thunderstorms Likely
726.9480000000001, 2019-05-26T18:00:00-07:00, 74, falling, SSW, 12 to 18 mph, Chance Rain Showers
246.888, 2019-05-26T18:00:00-05:00, 74, None, E, 0 mph, Sunny
163.9824, 2019-05-26T18:00:00-05:00, 84, None, SW, 5 to 9 mph, Showers And Thunderstorms Likely then Scattered Showers And Thunderstorms
213.0552, 2019-05-26T18:00:00-04:00, 86, None, W, 9 mph, Mostly Cloudy then Showers And Thunderstorms Likely
248.1072, 2019-05-26T18:00:00-04:00, 82, None, W, 9 mph, Showers And Thunderstorms Likely
257.86080000000004, 2019-05-26T18:00:00-04:00, 94, None, W, 3 to 9 mph, Sunny
473.0496, 2019-05-26T18:00:00-08:00, 52, None, N, 5 to 15 mph, Rain
227.99040000000002, 2019-05-26T18:00:00-05:00, 89, None, S, 10 mph, Partly Sunny
359.96880000000004, 2019-05-26T18:00:00-05:00, 78, None, ESE, 3 to 9 mph, Partly Sunny then Chance Showers And Thunderstorms
24.0792, 2019-05-26T18:00:00-04:00, 94, None, E, 5 mph, Sunny
25.908, 2019-05-26T18:00:00-07:00, 61, None, SW, 5 to 10 mph, Rain Showers
36.8808, 2019-05-26T18:00:00-04:00, 92, None, W, 9 to 14 mph, Mostly Sunny then Scattered Showers And Thunderstorms
182.88, 2019-05-26T18:00:00-04:00, 74, None, NW, 5 mph, Chance Showers And Thunderstorms
121.92, 2019-05-26T18:00:00-04:00, 94, None, W, 6 mph, Sunny
120.0912, 2019-05-26T18:00:00-07:00, 60, None, SW, 5 to 10 mph, Rain Showers
0, 2019-05-26T18:00:00-04:00, 76, None, W, 5 to 10 mph, Slight Chance Showers And Thunderstorms
25.908, 2019-05-26T18:00:00-04:00, 90, None, W, 9 to 15 mph, Mostly Sunny then Scattered Showers And Thunderstorms
7.010400000000001, 2019-05-26T18:00:00-04:00, 94, None, ENE, 7 mph, Sunny
135.9408, 2019-05-26T18:00:00-05:00, 98, None, SE, 21 mph, Slight Chance Rain Showers
259.08000000000004, 2019-05-26T18:00:00-05:00, 75, None, NE, 0 to 5 mph, Mostly Sunny
370.0272, 2019-05-26T18:00:00-07:00, 86, falling, SSW, 15 mph, Sunny
184.0992, 2019-05-26T18:00:00-04:00, 68, None, W, 9 mph, Mostly Sunny
979.0176, 2019-05-26T18:00:00-05:00, 80, None, SSE, 15 mph, Chance Showers And Thunderstorms
608.076, 2019-05-26T18:00:00-07:00, 80, falling, SSW, 15 mph, Sunny
