Zip Codes
100xx–104xx  11004–05  111xx–114xx  116xx
  List  90001–90084  90086–90089  90091  90093–90097  90099  90101–90103  90174  90185  90189  90291–90293  91040–91043  91303–91308  91311  91316  91324–91328  91330  91331  91335  91340  91342–91349  91352–91353  91356–91357  91364–91367  91401–91499  91504–91505  91601–91609    
606xx  607xx  608xx
770xx  772xx (P.O. Boxes)
85001–85099
19092-19093  19099  191xx
78201-66  78268-70  78275  78278-80  78283-89  78291-99
92101–92124  92126–92132  92134–92140  92142  92143  92145  92147  92149–92155  92158–92161  92163  92165–92179  92182  92186  92187  92190–92199
  ZIP Codes   75201-75212  75214-75238  75240-75254  75258  75260-75267  75270  75275  75277  75283-75287  75301  75303  75310  75312-75313  75315  75320  75323  75326  75334  75336  75339-75340  75342-75344  75354-75360  75367-75368  75370-75374  75376  75378-75382  75387  75389-75394  
  List  95002  95008  95101  95103  95106  95108–95113  95115–95141  95148  95150–95161  95164  95170  95172  95173  95190–9519   95196     
78701–78705  78708–78739  78741–78742  78744–78769
32099  32201–32212  32214–32241  32244–32247  32250  32254–32260  32266  32267  32277  32290
76120  76008  76028  76036  76101-76124  76126-76127  76130-76137  76140  76147-76148  76150  76155  76161-76164  76166  76177  76179  76180-76182  76185  76191-76193  76195-76199  76244  76247  76262  76129 (exclusive to TCU)  76107
  Zip codes   43035  43085  43201-43207  43209-43224  43226-43232  43234-43236  43240  43251  43260  43266  43268  43270-43272  43279  43287  43291  
  List  94102–94105  94107–94112  94114–94134  94137  94139–94147  94151  94158–94161  94163–94164  94172  94177  94188  
28201-28237  28240-28247  28250  28253-28256  28258   28260-28262  28265-28266  28269-28275  28277-28278  28280-28290  28296-28297  28299
  61 total ZIP codes:  46201–46209  46211  46214  46216–46231  46234–46237  46239–46242  46244  46247  46249–46251  46253–46256  46259–46260  46266  46268  46274–46275  46277–46278  46280  46282–46283  46285  46290–46291  46295–46296  46298  
  .mw-parser-output .nobold{font-weight:normal}ZIP codes    98101–98119  98121–98122  98124–98127  98129  98131  98133–98134  98136  98138–98139  98141  98144–98146  98148  98154–98155  98158  98160–98161  98164–98166  98168  98170  98174–98175  98177–98178  98181  98185  98188  98190–98191  98194–98195  98198–98199  
80201–80212  80214–80239  80241  80243–80244  80246–80252  80256–80266  80271  80273–80274  80279–80281  80290–80291  80293–80295  80299  80012  80014  80022  80033  80123  80127 
20001–20098  20201–20599
  53 ZIP codes   02108–02137  02163  02196  02199  02201  02203  02204  02205  02206  02210  02211  02212  02215  02217  02222  02126  02228  02241  02266  02283  02284  02293  02295  02297  02298  02467 (also includes parts of Newton and Brookline)  
79900-79999 88500-88599 (PO Boxes)
48127  48201  48202  48204–48206  48208–48210  48212–48217  48219  48221–48228  48231–48235  48236  48238–48240  48243  48244  48255  48260  48264  48266–48269  48272  48275  48277–48279  48288
37201-37250
97086-97299
  Zip codes   37501  37544  38002  38016  38018  38028  38088  38101  38103–38109  38111–38120  38122  38124–38128  38130–38139  38141  38145  38147–38148  38150–38152  38157  38159  38161  38163  38166–38168  38173–38175  38177  38181–38182  38184  38186–38188  38190  38193–38194  38197  
  Zip codes   73101-73132  73134-73137  73139-73160  73162-73165  73167  73169-73170  73172-73173  73178-73179  73184-73185  73189-73190  73194-73196  73198  74013  
 Las Vegas error: parse didn't find zip codes
major: 402xxminor: 400xx  401xx
  Zip codes   21201–21231  21233–21237  21239–21241  21244  21250–21252  21263–21265  21268  21270  21273–21275  21278–21290  21297–21298  
53172  53201–53216  53218–53228  53233–53234  53237  53259  53263  53267–53268  53274  53278  53288  53290  53293  53295
87101–87125  87131 87151  87153  87154 87158  87174  87176 87181  87184  87185 87187  87190–87199
85701-85775
93650  93701–93712  93714–93718  93720–93730  93737  93740  93741  93744  93745  93747  93750  93755  93760  93761  93764  93765  93771–79  93786  93790–94  93844  93888
85200-85299
942xx  958xx
30060  30301–30322  30324–30334  30336–30350  30340  30353  30363
64101-64102  64105-64106  64108-64114  64116-64121  64123-64134  64136-64139  64141  64144-64149  64151-64158  64161  64163-64168  64170-64172  64179-64180  64183-64184  64187-64188  64190-64193  64195-64199  64999 
80901–80951  80960  80962  80970  80977  80995  80997
33010–33299
27601  27603  27604  27605  27606  27607  27608  27609  27610  27612  27613  27614  27615  27616  27617
68022  68101–68164
90801–90810  90813–90815  90822  90831–90835  90840  90842  90844  90846–90848  90853  90895  90899
 Virginia Beach error: parse didn't find zip codes
94601–94615  94617–94624  94649  94659–94662  94666 
55401–55488 (range includes some ZIP Codes for Minneapolis suburbs)
  ZIP codes   74101–74108  74110  74112  74114–74117  74119–74121  74126  74127–74137  74141  74145–74150  74152–74153  74155–74159  74169–74172  74182  74186–74187  74192–74193  
76000-76099 (76029 is exclusive to UT-Arlington)
33601–33626  33629–33631  33633–33635  33637  33646  33647  33650  33655  33660–33664  33672–33675  33677  33679–33682  33684–33689  33694 
 New Orleans error: parse didn't find zip codes
67201-67221  67223  67226-67228  67230  67232  67235  67260  67275-67278 
  ZIP Codes   44101–44106  44108–44115  44118–44122  44124–44130  44134–44135  44143–44144  44181  44188  44190–44195  44197–44199  
93220  93241  93263  93301–93309  93311–93314  93380–93390  93399
80010-80019  80040-80047 (all but 80045 PO Boxes)  80137  80247 
92801–92809  92812  92814–92817  92825  92850  92899
96801–96850
92701–92708  92711  92712  92728  92735  92799
92501–92509  92513–92519  92521–92522
78401–78402  78404–78418
40502–40517  40522–40524  40526  40533  40536  40544  40546  40550  40555  40574–40583  40588  40591  40598
95201–95213  95215  95219  95267  95269  95296–95297
89002  89009  89011  89012  89014-89016  89044  89052  89053  89074  89077
55101–55175
  (Almost all of63101-63199)   63101-63141  63143-63147  63150-63151  63155-63158  63160  63163-63164  63166-63167  63169  63171  63177-63180  63182  63188  63190  63195  63197-63199  
  ZIP Codes   45201–45209  45211–45255  45258  45262–45264  45267–45271  45273–45275  45277  45280  45296  45298–45299  45999  
  34 total ZIP codes:  15106  15120–15121  15201  15203–15208  15210–15222  15224  15226–15227  15230  15232–15235  15237  15239  15289  15229  
27214  27282  27301  27358  27401  27402  27403  27404  27405  27406  27407  27408  27409  27410  27411  27412  27413  27415  27420  27412  27429  27435  27438  27455  27495  27497  27498  27499
99501–99524  99529-99530  99599
75023-26  75074-75  75086  75093-94
68501-68510  68512  68514  68516-68517  68520-68524  68526-68529  68531-68532  68542  68544  68583  68588
32825
92602–92604  92606  92612  92614  92616–92620  92623  92650  92697
07101-07108  07112  07114  
  Zip codes   43601  43603-43615  43617  43620  43623  43635  43652  43654  43656-43657  43659-43661  43666-43667  43681-43682  43697  43699  
27701  27702  27703  27704  27705  27706  27707  27708  27709  27710  27711  27712  27713  27715  27717  27722
91909–91915  91921
  ZIP codes  46774  46802–46809  46814–46816  46818  46819  46825  46835  46845  
07097  07302-07308  07310-07311 
33701  33702  33703  33704  33705  33710  33712-33713  33715 
78040–78046  78049
 Madison error: parse didn't find zip codes
85225  85224  85286  85248  85249 85247 85246
142XX
79401-79416  79423  79424  79430  79452  79453  79457  79464  79490  79491  79493  79499
85250–85271
89500-89599
85301-85318
85233  85234  85295-85298
 Winston–Salem error: parse didn't find zip codes
89030–89033  89036  89081  89084–89087
23501-23515  23517-23521  23523  23529  23541  23551
23320-23328
75040-75049
75000–75099
33002  33010-33018
94536–94539  94555
83701–83799
23173  23218–23242  23249–23250  23255  23260–23261  23269  23273–23274  23276  23278–23279  23282  23284–23286  23288–23295  23297–23298
70801-70817  70819-70823  70825-70827  70831  70833  70835-70837  70874  70879  70883  70884  70892-70896  70898
  Zip codes   99201  99202  99203  99204  99205  99206  99207  99208  99209 (PO BOX)  99210 (PO BOX)  99211 (PO BOX)  99212  99213 (PO BOX)  99214 (PO BOX)  99215 (PO BOX)  99216  99217  99218  99219 (PO BOX)  99220 (PO BOX)  99223  99224  99228 (PO BOX)  99251  99252  99256  99258  99260  99299  
50301-50340-50310
  Zip codes   98001  98002  98071  98092  98401–98409  98411–98413  98415  98416  98418  98421  98422  98424  98430  98431  98433  98438  98439  98442–98447  98450  98455  98460  98464  98465  98466  98467  98471  98477  98481  98492  98493  98497–98499  
92401–92408  92410–92415  92418  92420  92423  92424  92427
95350–95358  95397
92331  92334–92337 
91310  91321–91322  91350–91351  91354–91355  91380–91387  91390
35201–35298
93030–93036
28301  28302  28303  28304  28305  28306  28307 (Fort Bragg)  28308 (Pope AAF)  28309  28310 (Fort Bragg)  28311  28312  28314 28387 28374
92551–92557
146xx (14604=downtown)
91201–91210  91214  91221  91222  91224–91226
92605  92615  92646–92649
  ZIP Codes   84101-84128  84130-84134  84136  84138-84139  84141  84143-84145  84147-84148  84150-84152  84157-84158  84165  84170-84171  84180  84184  84189-84190  84199  
49501  49502  49503  49504  49505  49506  49507  49508  49510  49514  49515  49516  49518  49523  49525  49534  49546  49548  49555  49560  49588  49594
79101-79111  79114  79116-79121  79123-79124  79159  79163  79166-79168  79171-79172  79174  79178  79182  79185  79187  79189
10701  10702 (post office)  10703  10704  10705  10707 (shared with Tuckahoe  NY)  10708 (shared with Bronxville  NY)  10710
60502–60507  60568  60569  60572  60598
36013  36043  36064  36104  36105  36106  36107  36108  36109  36110  36111  36112  36113  36115  36116  36117
44301-44321  44325  44326  44328  44333  44334  44372  44396  44398
72002  72103  72201  72202  72204  72205  72206  72207  72209  72210  72211  72212  72223  72227
35649  35749  35748  35754  35756  35757  35671  35741  35762  35763  35773  35801–35816  35824  35893-35899
30901  30904  30906  30907  30909  30912   30815
 Port St. Lucie error: parse didn't find zip codes
75050-75054
